stop_name,Degree,Closeness,Betweenness,stop_lat,stop_lon,platform_stop_count
Bathurst Station,0.0007170172084130018,0.04585564684766498,0.08909486409716404,43.71688605027933,-79.42672056424581,179
Bloor Station,0.0009560229445506692,0.04610169844463489,0.05537012914760315,43.65392157553957,-79.46849394964029,139
Dufferin Station,0.0007170172084130018,0.04469945472860169,0.10315703435477268,43.69519968548387,-79.44709051612902,124
Eglinton Station,0.001673040152963671,0.04675921146100258,0.059842644452960975,43.70759956538462,-79.39331635769231,260
Finch Station,0.0017925430210325047,0.04323708462858425,0.07601848021619868,43.78286145394737,-79.39364910855264,304
Glencairn Station,0.0004780114722753346,0.04552301287644203,0.08209497791165556,43.708651482758626,-79.44555148275863,29
Keele Station,0.0010755258126195029,0.042215384370793155,0.07576861221018535,43.712459844827585,-79.47552684482758,116
Kennedy Station,0.002031548757170172,0.04079891191764309,0.06314093476093245,43.76200552985075,-79.27966277611941,134
Kipling Station,0.0017925430210325047,0.03481988299969865,0.06324639365729809,43.674508197368425,-79.55051319078947,152
Leslie Station,0.0007170172084130018,0.0437346676689575,0.09251514620615706,43.75128001136364,-79.35798302272727,88
McCowan Station,0.0009560229445506692,0.03836608540644161,0.035325361734369974,43.81137158461539,-79.26567078461538,130
Mount Dennis Station,0.0017925430210325047,0.0413735245109012,0.02958129003592201,43.68891446666667,-79.4884694,15
Pioneer Village Station,0.0011950286806883365,0.039071708694890656,0.04820622129979035,43.776870333333335,-79.50935866666666,9
Scarborough Centre Station,0.002270554493307839,0.03928961491400481,0.05059334734367455,43.77444564285714,-79.25778,14
Sheppard West Station,0.0015535372848948373,0.04391951040714636,0.14225673243210635,43.74953108333333,-79.46229766666666,12
St George Station,0.0005975143403441683,0.046705491746874946,0.12209750967536896,43.67214685714286,-79.42024785714285,7
Union Station,0.0005975143403441683,0.03848123291036261,0.005991571786871013,43.75758721052631,-79.21788889473684,19
Warden Station,0.0011950286806883365,0.04091106781827624,0.08281807012015097,43.7469786953125,-79.29644991406249,128
Wilson Station,0.002031548757170172,0.04630868179348921,0.1386916888632419,43.73165656481482,-79.4646678888889,108
