stop_id,graph_degree,Degree,Closeness,Betweenness,in_largest_component,stop_name,stop_lat,stop_lon,is_hub,route_count,routes_serving,max_pax_per_vehicle_hour_2024_serving_route
7961,2,0.0002390057361376673,0.020631453890918812,0.00010338233536512489,True,Kipling Station,43.615753,-79.524963,True,2,"15,315",
10199,2,0.0002390057361376673,0.020770697179565527,0.00011652922194334887,True,Evans Ave at Arnold St,43.616399,-79.521073,False,2,"15,315",
1939,2,0.0002390057361376673,0.021066235611064587,0.00018345882634158,True,Evans Ave at Horner Ave,43.616805,-79.519106,False,2,"15,315",
1439,2,0.0002390057361376673,0.021497311006373514,0.00030297597705270706,True,Evans Ave at Eastwick Rd,43.617617,-79.515524,False,2,"15,315",
8329,2,0.0002390057361376673,0.02195900301250997,0.0004224931277638341,True,185 Evans Ave,43.618045,-79.513155,False,2,"15,315",
702,2,0.0002390057361376673,0.022442049279479293,0.0005420102784749612,True,Evans Ave at Islington Ave,43.618189,-79.511567,False,2,"15,315",
7870,2,0.0002390057361376673,0.022947393954317066,0.0006615274291860882,True,Evans Ave at Ourland Ave,43.618837,-79.509639,False,2,"15,315",
8029,2,0.0002390057361376673,0.02347655041022911,0.0007810445798972152,True,Evans Ave at Garroch Pl,43.619545,-79.506869,False,2,"15,315",
8675,2,0.0002390057361376673,0.024031241454235505,0.0009005617306083422,True,Evans Ave at Carnarvon Ave,43.620144,-79.504116,False,2,"15,315",
1220,2,0.0002390057361376673,0.024613360198019102,0.0010200788813194692,True,Evans Ave at Cremorne Ave,43.620658,-79.501613,False,2,"15,315",
8864,2,0.0002390057361376673,0.025335801449883025,5.975857535556352e-05,True,225 Carrier Dr,43.74897,-79.615884,False,1,96,
882,2,0.0002390057361376673,0.025994063048999486,0.00017927572606669056,True,209 Carrier Dr,43.747234,-79.615107,False,1,96,
6118,2,0.0002390057361376673,0.02668744227616896,0.0002987928767778176,True,Carrier Dr at Albion Rd,43.745809,-79.614347,False,1,96,
316,2,0.0002390057361376673,0.0274188263854243,0.00041831002748894463,True,Carrier Dr at Dansk Crt South Side,43.743515,-79.61471,False,1,96,
967,2,0.0002390057361376673,0.028191428056439694,0.0005378271782000717,True,145 Carrier Dr,43.741627,-79.613925,False,1,96,
690,2,0.0002390057361376673,0.02900883257277021,0.0006573443289111988,True,Opposite 100 Carrier Dr,43.739311,-79.612839,False,1,96,
6738,2,0.0002390057361376673,0.029875053452711908,0.0007768614796223258,True,Humber College Blvd at Carrier Dr South Side,43.7371,-79.610515,False,1,96,
18812,2,0.0002390057361376673,0.03079459835396597,0.0008963786303334528,True,Finch Station,43.733516,-79.610123,True,1,96,
4642,2,0.0002390057361376673,0.03177254753597509,0.0010158957810445799,True,Humber College Blvd at Humberline Dr South Side,43.731793,-79.608899,False,1,96,
5826,2,0.0002390057361376673,0.02953603223762292,0.002931063266308874,True,John Garland Blvd at Mosque Cres (North),43.732458,-79.592402,False,1,96,
2441,2,0.0002390057361376673,0.028721114571507396,0.0028115461155977474,True,John Garland Blvd at Martin Grove Rd,43.731901,-79.589609,False,1,96,
9225,2,0.0002390057361376673,0.02795577054602711,0.00269202896488662,True,John Garland Blvd at Martin Grove Rd East Side,43.73217,-79.588505,False,1,96,
6007,2,0.0002390057361376673,0.027234961965748507,0.002572511814175493,True,John Garland Blvd at Jamestown Cres (West),43.732437,-79.58675,False,1,96,
