stop_id,graph_degree,Degree,Closeness,Betweenness,in_largest_component,stop_name,stop_lat,stop_lon,station_cluster,is_station,route_count,routes_serving,is_major_hub_cluster,max_pax_per_vehicle_hour_2024_serving_route
3760,2,0.00024829298572315333,0.033268274043372174,8.146108410303355e-05,True,Islington Ave at Aylesbury Rd,43.666259,-79.532744,,False,1,337,False,
3808,2,0.00024829298572315333,0.03254063822692963,9.60185415114643e-07,True,Islington Ave at The Kingsway North Side,43.668756,-79.533874,,False,1,337,False,
3833,2,0.00024829298572315333,0.03292049832705899,4.366100843897456e-05,True,Islington Ave at Ridgevalley Cres North Side,43.67211,-79.535377,,False,1,337,False,
3825,2,0.00024829298572315333,0.03403250696802284,0.00016669948148521628,True,Islington Ave at Poplar Heights Dr,43.675562,-79.536919,,False,1,337,False,
3782,4,0.0004965859714463067,0.03523152336621728,0.0067485208148484865,True,Islington Ave at Eglinton Ave West,43.67969,-79.538744,,False,2,"337,937",False,42.4
3845,3,0.00037243947858473,0.03414056272374617,0.0006748004841260148,True,Islington Ave at Summitcrest Dr,43.683125,-79.54029,,False,2,"337,405",False,
3776,2,0.00024829298572315333,0.034087315987818514,6.73804986339487e-05,True,Islington Ave at Deerfoot Rd,43.685138,-79.541182,,False,2,"337,405",False,
3854,4,0.0004965859714463067,0.035242484058179833,0.004899367986145815,True,Islington Ave at The Westway,43.688485,-79.542629,,False,3,"337,405,937",False,42.4
3855,3,0.00037243947858473,0.035478312803917667,0.004934513709339734,True,Islington Ave at Winnipeg Rd,43.692368,-79.544377,,False,2,"337,405",False,
3777,4,0.0004965859714463067,0.03473879819837662,0.0033758493620391823,True,Islington Ave at Dixon Rd,43.696716,-79.546347,,False,2,"337,937",False,42.4
3806,2,0.00024829298572315333,0.03357224924876235,0.00012250641503186823,True,Islington Ave at Kingsview Blvd,43.699602,-79.547712,,False,1,337,False,
3840,2,0.00024829298572315333,0.03249121153925663,0.0,True,Islington Ave at St Andrews Blvd,43.701229,-79.548498,,False,1,337,False,
3841,2,0.00024829298572315333,0.03250184661655982,1.6554920950252465e-06,True,Islington Ave at St Georges Blvd,43.703263,-79.54944,,False,1,337,False,
3815,4,0.0004965859714463067,0.03359398403325457,0.003014486478171951,True,Islington Ave at Monogram Pl,43.70478,-79.550106,,False,2,"337,937",False,42.4
9509,2,0.00024829298572315333,0.03250171527686348,6.0840073551148794e-05,True,Islington Ave at Resources Rd North Side,43.708432,-79.551717,,False,1,337,False,
3755,2,0.00024829298572315333,0.03150548777767057,1.07606986176641e-06,True,Islington Ave at Allenby Ave,43.711273,-79.553078,,False,1,337,False,
14120,4,0.0004965859714463067,0.03253076717752876,0.002612193160268378,True,Islington Ave at Rexdale Blvd North Side,43.715356,-79.555092,,False,3,"337,37,937",False,48.9
3767,2,0.00024829298572315333,0.03155431069100781,0.001441172872032129,True,Islington Ave at Bergamot Ave,43.716748,-79.555736,,False,2,"337,937",False,42.4
